region,PROVINCE,BEINGBULLIED,PERCOMP,PERCOOP,GFOFAIL,EUDMO,SWBP,BELONG,ST207Q01HA,ST207Q02HA,ST207Q03HA,ST207Q04HA,SC001Q01TA,SC013Q01TA,SC016Q01TA,SC016Q02TA,SC016Q04TA,SC017Q01NA,SC017Q03NA,SC161Q01SA
Region I,Ilocos Norte,1.4454,0.6912,1.6762,0.4637,0.2621,1.2386,-0.9879,3.0,3.0,3.0,3.0,A town (15 000 to about 100 000 people),"A private school (Managed by a non-government org; e.g. a church, trade union, business, or other private institution.)",93.0,4.0,0.0,Not at all,Not at all,Not checked
Region I,Ilocos Norte,,0.6912,0.6012,0.4637,0.2621,1.2386,-0.8273,3.0,3.0,3.0,3.0,A town (15 000 to about 100 000 people),"A private school (Managed by a non-government org; e.g. a church, trade union, business, or other private institution.)",93.0,4.0,0.0,Not at all,Not at all,Not checked
Region I,Ilocos Norte,1.8016,,-0.5107,-0.3009,0.2621,,-0.3184,3.0,4.0,3.0,3.0,A town (15 000 to about 100 000 people),"A private school (Managed by a non-government org; e.g. a church, trade union, business, or other private institution.)",93.0,4.0,0.0,Not at all,Not at all,Not checked
Region I,Ilocos Norte,1.203,-0.4686,0.1463,-0.13,-1.0946,-1.2739,-0.8155,2.0,1.0,2.0,2.0,A town (15 000 to about 100 000 people),"A private school (Managed by a non-government org; e.g. a church, trade union, business, or other private institution.)",93.0,4.0,0.0,Not at all,Not at all,Not checked
Region I,Ilocos Norte,1.2618,0.6912,1.6762,0.4637,0.2621,-0.5928,-0.5707,2.0,3.0,3.0,3.0,A town (15 000 to about 100 000 people),"A private school (Managed by a non-government org; e.g. a church, trade union, business, or other private institution.)",93.0,4.0,0.0,Not at all,Not at all,Not checked
Region I,Ilocos Norte,3.8591,0.6912,0.6012,0.052,0.2621,0.7301,-0.5707,,3.0,3.0,,A town (15 000 to about 100 000 people),"A private school (Managed by a non-government org; e.g. a church, trade union, business, or other private institution.)",93.0,4.0,0.0,Not at all,Not at all,Not checked
Region I,Ilocos Norte,-0.7823,0.6912,0.6012,0.4637,0.2621,-0.5928,-0.5707,3.0,3.0,2.0,3.0,A town (15 000 to about 100 000 people),"A private school (Managed by a non-government org; e.g. a church, trade union, business, or other private institution.)",93.0,4.0,0.0,Not at all,Not at all,Not checked
Region I,Ilocos Norte,,2.0378,0.6012,,,,,3.0,3.0,,3.0,A town (15 000 to about 100 000 people),"A private school (Managed by a non-government org; e.g. a church, trade union, business, or other private institution.)",93.0,4.0,0.0,Not at all,Not at all,Not checked
Region I,Ilocos Norte,0.8233,-0.6142,-0.9391,0.4637,1.7411,-0.5928,-0.3184,3.0,2.0,3.0,3.0,A town (15 000 to about 100 000 people),"A private school (Managed by a non-government org; e.g. a church, trade union, business, or other private institution.)",93.0,4.0,0.0,Not at all,Not at all,Not checked
Region I,Ilocos Norte,0.2907,-0.6142,-0.5358,0.4637,0.2621,1.2386,-0.9879,3.0,3.0,3.0,3.0,A town (15 000 to about 100 000 people),"A private school (Managed by a non-government org; e.g. a church, trade union, business, or other private institution.)",93.0,4.0,0.0,Not at all,Not at all,Not checked
Region I,Ilocos Norte,3.8591,-0.1532,0.6012,0.052,0.2621,-0.5928,-0.445,3.0,3.0,3.0,3.0,A town (15 000 to about 100 000 people),"A private school (Managed by a non-government org; e.g. a church, trade union, business, or other private institution.)",93.0,4.0,0.0,Not at all,Not at all,Not checked
Region I,Ilocos Norte,1.1318,-0.0806,-1.7176,-1.0109,-0.569,-0.7871,-0.8155,1.0,2.0,,3.0,A town (15 000 to about 100 000 people),"A private school (Managed by a non-government org; e.g. a church, trade union, business, or other private institution.)",93.0,4.0,0.0,Not at all,Not at all,Not checked
Region I,Ilocos Norte,-0.7823,-1.9892,-2.1428,-1.8939,-2.1464,,-1.2605,1.0,1.0,1.0,1.0,A town (15 000 to about 100 000 people),"A private school (Managed by a non-government org; e.g. a church, trade union, business, or other private institution.)",93.0,4.0,0.0,Not at all,Not at all,Not checked
Region I,Ilocos Norte,2.5101,-0.6142,-0.9391,0.4637,0.2621,0.7301,-0.3184,3.0,3.0,3.0,3.0,A town (15 000 to about 100 000 people),"A private school (Managed by a non-government org; e.g. a church, trade union, business, or other private institution.)",93.0,4.0,0.0,Not at all,Not at all,Not checked
Region I,Ilocos Norte,1.7926,-0.6142,-0.5107,0.4637,0.2621,-1.566,-0.5582,2.0,2.0,1.0,3.0,A town (15 000 to about 100 000 people),"A private school (Managed by a non-government org; e.g. a church, trade union, business, or other private institution.)",93.0,4.0,0.0,Not at all,Not at all,Not checked
Region I,Ilocos Norte,1.5082,2.0378,-1.807,1.8905,-0.267,-0.1429,-0.9911,4.0,3.0,4.0,3.0,A town (15 000 to about 100 000 people),"A private school (Managed by a non-government org; e.g. a church, trade union, business, or other private institution.)",93.0,4.0,0.0,Not at all,Not at all,Not checked
Region I,Ilocos Norte,1.8633,0.6912,0.6012,0.4637,0.2621,0.1869,-0.3184,3.0,3.0,3.0,4.0,A town (15 000 to about 100 000 people),"A private school (Managed by a non-government org; e.g. a church, trade union, business, or other private institution.)",93.0,4.0,0.0,Not at all,Not at all,Not checked
Region I,Ilocos Norte,0.8233,0.6912,0.6012,0.4637,-0.523,1.2386,-0.2456,3.0,3.0,1.0,1.0,A town (15 000 to about 100 000 people),"A private school (Managed by a non-government org; e.g. a church, trade union, business, or other private institution.)",93.0,4.0,0.0,Not at all,Not at all,Not checked
Region I,Ilocos Norte,2.9705,-0.2309,-0.5358,-0.2006,0.2621,0.7301,-0.3184,3.0,3.0,3.0,3.0,A town (15 000 to about 100 000 people),"A private school (Managed by a non-government org; e.g. a church, trade union, business, or other private institution.)",93.0,4.0,0.0,Not at all,Not at all,Not checked
Region I,Ilocos Norte,2.1776,0.6912,-0.5107,1.1422,0.2621,1.2386,0.0348,3.0,3.0,3.0,3.0,A town (15 000 to about 100 000 people),"A private school (Managed by a non-government org; e.g. a church, trade union, business, or other private institution.)",93.0,4.0,0.0,Not at all,Not at all,Not checked
Region I,Ilocos Norte,1.8633,0.6912,0.6012,0.4637,0.2621,-0.5928,-0.3184,3.0,3.0,3.0,3.0,A town (15 000 to about 100 000 people),"A private school (Managed by a non-government org; e.g. a church, trade union, business, or other private institution.)",93.0,4.0,0.0,Not at all,Not at all,Not checked
Region I,Ilocos Norte,-0.7823,1.1473,-1.4801,0.4637,1.7411,1.2386,-0.0435,1.0,1.0,1.0,1.0,A town (15 000 to about 100 000 people),"A private school (Managed by a non-government org; e.g. a church, trade union, business, or other private institution.)",93.0,4.0,0.0,Not at all,Not at all,Not checked
Region I,Ilocos Norte,2.1776,-0.6142,-0.1855,0.4637,0.2621,-0.5928,-0.6464,2.0,2.0,2.0,2.0,A town (15 000 to about 100 000 people),"A private school (Managed by a non-government org; e.g. a church, trade union, business, or other private institution.)",93.0,4.0,0.0,Not at all,Not at all,Not checked
Region I,Ilocos Norte,0.1462,0.2865,0.6012,-0.687,0.2621,1.2386,0.1554,3.0,3.0,3.0,3.0,A town (15 000 to about 100 000 people),"A private school (Managed by a non-government org; e.g. a church, trade union, business, or other private institution.)",93.0,4.0,0.0,Not at all,Not at all,Not checked
Region I,Ilocos Norte,1.1625,-1.1126,-0.1855,0.4637,0.2621,-0.5928,-0.9351,3.0,3.0,2.0,3.0,A town (15 000 to about 100 000 people),"A private school (Managed by a non-government org; e.g. a church, trade union, business, or other private institution.)",93.0,4.0,0.0,Not at all,Not at all,Not checked
Region I,Ilocos Norte,2.07,0.6912,0.6012,0.4637,0.2621,1.2386,-0.6659,3.0,3.0,4.0,4.0,A town (15 000 to about 100 000 people),"A private school (Managed by a non-government org; e.g. a church, trade union, business, or other private institution.)",93.0,4.0,0.0,Not at all,Not at all,Not checked
Region I,Ilocos Norte,0.8233,0.6912,0.6012,0.4637,0.2621,1.2386,-0.3184,3.0,3.0,3.0,3.0,A town (15 000 to about 100 000 people),"A private school (Managed by a non-government org; e.g. a church, trade union, business, or other private institution.)",93.0,4.0,0.0,Not at all,Not at all,Not checked
Region I,Ilocos Norte,2.896,-0.6142,-0.9391,-0.2006,-0.9827,0.7301,-0.3184,3.0,3.0,3.0,3.0,A town (15 000 to about 100 000 people),"A private school (Managed by a non-government org; e.g. a church, trade union, business, or other private institution.)",93.0,4.0,0.0,Not at all,Not at all,Not checked
Region I,Ilocos Norte,1.2618,0.6912,0.6012,0.4637,0.2621,0.6502,0.4909,3.0,3.0,3.0,3.0,A town (15 000 to about 100 000 people),"A private school (Managed by a non-government org; e.g. a church, trade union, business, or other private institution.)",93.0,4.0,0.0,Not at all,Not at all,Not checked
Region I,Ilocos Norte,1.1318,-0.3035,-0.0169,0.2734,-0.267,-0.1064,-0.6354,1.0,2.0,2.0,1.0,A town (15 000 to about 100 000 people),"A private school (Managed by a non-government org; e.g. a church, trade union, business, or other private institution.)",93.0,4.0,0.0,Not at all,Not at all,Not checked
Region I,La Union,0.8233,0.6912,0.6012,-0.687,0.2621,-0.5928,-0.9879,3.0,3.0,3.0,3.0,A town (15 000 to about 100 000 people),"A public school (Managed by a public education authority, government agency, or governing board)",90.0,5.0,0.0,Not at all,Very little,Not checked
Region I,La Union,1.5082,0.6912,0.6012,0.4637,1.1963,0.3385,-0.8632,3.0,3.0,3.0,3.0,A town (15 000 to about 100 000 people),"A public school (Managed by a public education authority, government agency, or governing board)",98.0,1.0,0.0,Not at all,To some extent,Not checked
Region I,La Union,1.4721,2.0378,1.6762,1.8905,1.7411,-0.5928,2.7249,4.0,4.0,4.0,4.0,A city (100 000 to about 1 000 000 people),"A private school (Managed by a non-government org; e.g. a church, trade union, business, or other private institution.)",,100.0,,Not at all,Not at all,Not checked
Region I,La Union,2.4601,-0.6142,0.6012,-0.2006,1.7411,1.2386,0.3202,1.0,3.0,4.0,4.0,A town (15 000 to about 100 000 people),"A public school (Managed by a public education authority, government agency, or governing board)",90.0,5.0,0.0,Not at all,Very little,Not checked
Region I,La Union,1.2618,0.6912,-0.9391,1.8905,0.2621,-0.5928,0.2243,3.0,3.0,3.0,3.0,A town (15 000 to about 100 000 people),"A public school (Managed by a public education authority, government agency, or governing board)",90.0,5.0,0.0,Not at all,Very little,Not checked
Region I,La Union,1.4454,-0.2309,0.6012,0.4637,0.2621,0.1869,-0.9879,3.0,3.0,4.0,4.0,A city (100 000 to about 1 000 000 people),"A private school (Managed by a non-government org; e.g. a church, trade union, business, or other private institution.)",,100.0,,Not at all,Not at all,Not checked
Region I,La Union,1.1625,0.6912,-0.5107,0.1097,-0.9827,-1.8489,-0.3184,4.0,4.0,4.0,4.0,A city (100 000 to about 1 000 000 people),"A private school (Managed by a non-government org; e.g. a church, trade union, business, or other private institution.)",,100.0,,Not at all,Not at all,Not checked
Region I,La Union,1.2618,-0.6142,-0.9391,0.4637,0.2621,-0.5928,-0.0392,3.0,3.0,3.0,3.0,A town (15 000 to about 100 000 people),"A public school (Managed by a public education authority, government agency, or governing board)",90.0,5.0,0.0,Not at all,Very little,Not checked
Region I,La Union,1.1211,-0.2309,-0.6915,-0.13,0.2621,0.1869,-0.224,2.0,1.0,1.0,2.0,A city (100 000 to about 1 000 000 people),"A private school (Managed by a non-government org; e.g. a church, trade union, business, or other private institution.)",,100.0,,Not at all,Not at all,Not checked
Region I,La Union,1.5082,0.4817,1.0891,-0.7592,0.8126,1.2386,0.472,3.0,3.0,4.0,3.0,A city (100 000 to about 1 000 000 people),"A private school (Managed by a non-government org; e.g. a church, trade union, business, or other private institution.)",,100.0,,Not at all,Not at all,Not checked
Region I,La Union,-0.7823,2.0378,1.6762,-0.7592,1.7411,1.2386,0.6757,4.0,4.0,4.0,4.0,A city (100 000 to about 1 000 000 people),"A private school (Managed by a non-government org; e.g. a church, trade union, business, or other private institution.)",,100.0,,Not at all,Not at all,Not checked
Region I,La Union,0.7703,0.202,0.6012,0.8794,-0.3121,0.6502,-0.3184,3.0,3.0,3.0,3.0,A city (100 000 to about 1 000 000 people),"A private school (Managed by a non-government org; e.g. a church, trade union, business, or other private institution.)",,100.0,,Not at all,Not at all,Not checked
Region I,La Union,3.8591,2.0378,1.6762,1.0109,1.7411,0.4094,2.7249,1.0,4.0,1.0,1.0,A town (15 000 to about 100 000 people),"A public school (Managed by a public education authority, government agency, or governing board)",98.0,1.0,0.0,Not at all,To some extent,Not checked
Region I,La Union,2.9705,0.6912,-0.5358,-0.687,0.2621,0.7301,0.2159,3.0,3.0,3.0,3.0,A town (15 000 to about 100 000 people),"A public school (Managed by a public education authority, government agency, or governing board)",90.0,5.0,0.0,Not at all,Very little,Not checked
Region I,La Union,1.1211,2.0378,-0.3047,0.4637,1.348,-0.5928,-0.8632,4.0,4.0,4.0,4.0,A city (100 000 to about 1 000 000 people),"A private school (Managed by a non-government org; e.g. a church, trade union, business, or other private institution.)",,100.0,,Not at all,Not at all,Not checked
Region I,La Union,1.5699,-0.043,-0.9391,0.4637,0.9269,0.7301,-0.1596,3.0,3.0,3.0,3.0,A town (15 000 to about 100 000 people),"A public school (Managed by a public education authority, government agency, or governing board)",98.0,1.0,0.0,Not at all,To some extent,Not checked
Region I,La Union,-0.7823,-0.6142,-0.1855,-0.4342,-0.267,-2.2895,-1.177,3.0,3.0,1.0,2.0,A town (15 000 to about 100 000 people),"A public school (Managed by a public education authority, government agency, or governing board)",98.0,1.0,0.0,Not at all,To some extent,Not checked
Region I,La Union,2.07,-0.6142,-0.9391,0.4637,0.2621,-0.3236,0.0348,3.0,3.0,3.0,3.0,A city (100 000 to about 1 000 000 people),"A private school (Managed by a non-government org; e.g. a church, trade union, business, or other private institution.)",,100.0,,Not at all,Not at all,Not checked
Region I,La Union,1.8016,-1.9892,-0.3047,0.4637,0.2621,-0.5928,-0.3184,3.0,3.0,3.0,3.0,A town (15 000 to about 100 000 people),"A public school (Managed by a public education authority, government agency, or governing board)",90.0,5.0,0.0,Not at all,Very little,Not checked
Region I,La Union,0.2907,-1.9892,1.6762,-1.8939,1.7411,1.2386,0.9423,4.0,4.0,4.0,4.0,A town (15 000 to about 100 000 people),"A public school (Managed by a public education authority, government agency, or governing board)",98.0,1.0,0.0,Not at all,To some extent,Not checked
Region I,La Union,-0.7823,0.6912,0.6012,0.4637,0.2621,1.2386,-0.1939,3.0,3.0,2.0,3.0,A town (15 000 to about 100 000 people),"A public school (Managed by a public education authority, government agency, or governing board)",90.0,5.0,0.0,Not at all,Very little,Not checked
Region I,La Union,2.4601,1.3521,1.6762,1.1422,0.2621,0.7301,-1.177,3.0,4.0,4.0,3.0,A town (15 000 to about 100 000 people),"A public school (Managed by a public education authority, government agency, or governing board)",90.0,5.0,0.0,Not at all,Very little,Not checked
Region I,La Union,1.2618,-1.4753,-0.9391,0.4637,,1.2386,-1.1224,1.0,3.0,1.0,1.0,A city (100 000 to about 1 000 000 people),"A private school (Managed by a non-government org; e.g. a church, trade union, business, or other private institution.)",,100.0,,Not at all,Not at all,Not checked
Region I,La Union,1.1625,0.0866,1.6762,-1.4869,1.7411,1.2386,-0.1939,4.0,4.0,4.0,4.0,A town (15 000 to about 100 000 people),"A public school (Managed by a public education authority, government agency, or governing board)",90.0,5.0,0.0,Not at all,Very little,Not checked
Region I,La Union,1.2327,2.0378,1.6762,-1.4869,-0.6723,1.2386,-0.0649,3.0,4.0,4.0,4.0,A city (100 000 to about 1 000 000 people),"A private school (Managed by a non-government org; e.g. a church, trade union, business, or other private institution.)",,100.0,,Not at all,Not at all,Not checked
Region I,La Union,1.8368,-0.6142,-0.3047,0.4637,0.2621,-1.8489,-0.7814,1.0,,2.0,3.0,A town (15 000 to about 100 000 people),"A public school (Managed by a public education authority, government agency, or governing board)",98.0,1.0,0.0,Not at all,To some extent,Not checked
Region I,La Union,-0.7823,0.6912,0.6012,-0.687,-2.1464,0.7301,-0.3184,3.0,,3.0,3.0,A town (15 000 to about 100 000 people),"A public school (Managed by a public education authority, government agency, or governing board)",90.0,5.0,0.0,Not at all,Very little,Not checked
Region I,La Union,2.4601,0.2865,0.9995,0.3335,1.7411,1.2386,-0.0633,4.0,4.0,4.0,4.0,A town (15 000 to about 100 000 people),"A public school (Managed by a public education authority, government agency, or governing board)",98.0,1.0,0.0,Not at all,To some extent,Not checked
Region I,La Union,1.1928,0.552,-0.9391,0.3335,-0.0193,0.5012,-0.5878,3.0,3.0,4.0,4.0,A town (15 000 to about 100 000 people),"A public school (Managed by a public education authority, government agency, or governing board)",90.0,5.0,0.0,Not at all,Very little,Not checked
Region I,La Union,-0.7823,-0.6142,1.6762,0.4637,0.2621,-0.5928,-0.3184,3.0,3.0,3.0,3.0,A town (15 000 to about 100 000 people),"A public school (Managed by a public education authority, government agency, or governing board)",90.0,5.0,0.0,Not at all,Very little,Not checked
Region I,La Union,1.1625,0.6912,0.6012,1.0671,1.7411,-0.5928,-0.3184,3.0,3.0,3.0,3.0,A city (100 000 to about 1 000 000 people),"A private school (Managed by a non-government org; e.g. a church, trade union, business, or other private institution.)",,100.0,,Not at all,Not at all,Not checked
Region I,La Union,0.1462,0.202,-0.3047,0.4637,0.2621,0.1869,-0.3184,3.0,2.0,3.0,3.0,A town (15 000 to about 100 000 people),"A public school (Managed by a public education authority, government agency, or governing board)",98.0,1.0,0.0,Not at all,To some extent,Not checked
Region I,La Union,-0.7823,0.6912,-0.3987,0.4637,0.2621,-1.3186,-0.9879,3.0,3.0,3.0,3.0,A town (15 000 to about 100 000 people),"A public school (Managed by a public education authority, government agency, or governing board)",90.0,5.0,0.0,Not at all,Very little,Not checked
Region I,La Union,2.1776,0.6912,0.9995,0.4637,0.2621,1.2386,0.3692,4.0,3.0,3.0,3.0,A town (15 000 to about 100 000 people),"A public school (Managed by a public education authority, government agency, or governing board)",98.0,1.0,0.0,Not at all,To some extent,Not checked
Region I,La Union,-0.7823,1.563,-2.1428,-0.3799,1.243,1.2386,0.6818,3.0,3.0,4.0,4.0,A city (100 000 to about 1 000 000 people),"A private school (Managed by a non-government org; e.g. a church, trade union, business, or other private institution.)",,100.0,,Not at all,Not at all,Not checked
Region I,La Union,1.4812,-0.6142,-0.5107,-0.2006,0.2621,-0.5928,-0.7386,2.0,3.0,2.0,3.0,A town (15 000 to about 100 000 people),"A public school (Managed by a public education authority, government agency, or governing board)",98.0,1.0,0.0,Not at all,To some extent,Not checked
Region I,La Union,1.7405,-0.1532,-0.9391,,0.9269,1.2386,-0.3077,3.0,3.0,2.0,3.0,A town (15 000 to about 100 000 people),"A public school (Managed by a public education authority, government agency, or governing board)",98.0,1.0,0.0,Not at all,To some extent,Not checked
Region I,La Union,1.5082,-0.1532,-0.4213,-0.687,0.2621,-1.566,-0.1122,3.0,,2.0,4.0,A town (15 000 to about 100 000 people),"A public school (Managed by a public education authority, government agency, or governing board)",98.0,1.0,0.0,Not at all,To some extent,Not checked
Region I,La Union,1.1928,0.6912,-0.5107,-0.3799,0.2621,-0.5928,-0.445,4.0,4.0,4.0,4.0,A city (100 000 to about 1 000 000 people),"A private school (Managed by a non-government org; e.g. a church, trade union, business, or other private institution.)",,100.0,,Not at all,Not at all,Not checked
Region I,La Union,2.07,0.6912,0.6012,-0.687,0.2621,0.1869,-0.3184,3.0,3.0,3.0,3.0,A city (100 000 to about 1 000 000 people),"A private school (Managed by a non-government org; e.g. a church, trade union, business, or other private institution.)",,100.0,,Not at all,Not at all,Not checked
Region I,La Union,2.0327,-0.6142,0.6012,-0.4342,0.2621,-0.5928,-0.3184,3.0,,3.0,3.0,A town (15 000 to about 100 000 people),"A public school (Managed by a public education authority, government agency, or governing board)",90.0,5.0,0.0,Not at all,Very little,Not checked
Region I,La Union,,0.027,,0.4637,-0.569,0.1869,-0.9879,,,,,A town (15 000 to about 100 000 people),"A public school (Managed by a public education authority, government agency, or governing board)",98.0,1.0,0.0,Not at all,To some extent,Not checked
Region I,La Union,0.2308,2.0378,0.9747,1.1911,1.243,1.2386,2.7249,4.0,4.0,1.0,4.0,A city (100 000 to about 1 000 000 people),"A private school (Managed by a non-government org; e.g. a church, trade union, business, or other private institution.)",,100.0,,Not at all,Not at all,Not checked
Region I,La Union,3.8591,0.027,-0.9391,0.4637,-0.569,0.1869,-0.9879,3.0,3.0,3.0,3.0,A town (15 000 to about 100 000 people),"A public school (Managed by a public education authority, government agency, or governing board)",98.0,1.0,0.0,Not at all,To some extent,Not checked
Region I,La Union,1.1625,0.6912,0.6012,0.4637,-0.1652,1.2386,-1.1427,3.0,3.0,3.0,3.0,A city (100 000 to about 1 000 000 people),"A private school (Managed by a non-government org; e.g. a church, trade union, business, or other private institution.)",,100.0,,Not at all,Not at all,Not checked
Region I,La Union,2.1379,0.2865,-0.2119,1.8905,0.2621,-0.5928,-0.4643,2.0,4.0,3.0,3.0,A city (100 000 to about 1 000 000 people),"A private school (Managed by a non-government org; e.g. a church, trade union, business, or other private institution.)",,100.0,,Not at all,Not at all,Not checked
Region I,La Union,2.07,-0.6142,0.6012,0.4637,0.2621,-0.5928,-0.5707,3.0,3.0,3.0,3.0,A town (15 000 to about 100 000 people),"A public school (Managed by a public education authority, government agency, or governing board)",90.0,5.0,0.0,Not at all,Very little,Not checked
Region I,La Union,-0.7823,,1.6762,0.1097,-0.4276,1.2386,1.4685,3.0,3.0,1.0,3.0,A city (100 000 to about 1 000 000 people),"A private school (Managed by a non-government org; e.g. a church, trade union, business, or other private institution.)",,100.0,,Not at all,Not at all,Not checked
Region I,La Union,2.4242,1.2186,-0.2814,1.1422,0.9269,0.7301,-1.0614,3.0,2.0,2.0,4.0,A city (100 000 to about 1 000 000 people),"A private school (Managed by a non-government org; e.g. a church, trade union, business, or other private institution.)",,100.0,,Not at all,Not at all,Not checked
Region I,La Union,1.8633,-0.6142,-0.5107,0.4637,0.2621,1.2386,-0.9879,3.0,3.0,3.0,3.0,A town (15 000 to about 100 000 people),"A public school (Managed by a public education authority, government agency, or governing board)",90.0,5.0,0.0,Not at all,Very little,Not checked
Region I,La Union,-0.7823,0.0866,0.6012,0.4637,1.348,1.2386,0.3241,2.0,3.0,4.0,3.0,A town (15 000 to about 100 000 people),"A public school (Managed by a public education authority, government agency, or governing board)",90.0,5.0,0.0,Not at all,Very little,Not checked
Region I,La Union,,,,,,,,,,,,A town (15 000 to about 100 000 people),"A public school (Managed by a public education authority, government agency, or governing board)",90.0,5.0,0.0,Not at all,Very little,Not checked
Region I,La Union,1.7405,0.6912,0.6012,0.0208,0.2621,-0.5928,-0.8273,4.0,2.0,3.0,4.0,A town (15 000 to about 100 000 people),"A public school (Managed by a public education authority, government agency, or governing board)",98.0,1.0,0.0,Not at all,To some extent,Not checked
Region I,La Union,2.07,-0.6142,0.6012,0.4637,0.2621,-0.5928,0.6818,4.0,4.0,4.0,4.0,A city (100 000 to about 1 000 000 people),"A private school (Managed by a non-government org; e.g. a church, trade union, business, or other private institution.)",,100.0,,Not at all,Not at all,Not checked
Region I,La Union,0.7703,-0.6142,0.6012,0.052,0.2621,-0.5928,-0.3184,4.0,3.0,4.0,4.0,A town (15 000 to about 100 000 people),"A public school (Managed by a public education authority, government agency, or governing board)",90.0,5.0,0.0,Not at all,Very little,Not checked
Region I,La Union,0.8233,-0.2309,-0.4213,-1.4869,-1.3539,-1.7969,-0.7683,2.0,1.0,4.0,3.0,A town (15 000 to about 100 000 people),"A public school (Managed by a public education authority, government agency, or governing board)",98.0,1.0,0.0,Not at all,To some extent,Not checked
Region I,La Union,0.6725,1.4734,0.6012,1.0671,0.2621,0.7301,-0.0633,3.0,3.0,4.0,4.0,A town (15 000 to about 100 000 people),"A public school (Managed by a public education authority, government agency, or governing board)",98.0,1.0,0.0,Not at all,To some extent,Not checked
Region I,La Union,2.07,-0.6142,-0.3047,0.4637,0.2621,-0.5928,-0.4415,3.0,3.0,2.0,2.0,A town (15 000 to about 100 000 people),"A public school (Managed by a public education authority, government agency, or governing board)",98.0,1.0,0.0,Not at all,To some extent,Not checked
Region I,La Union,0.1462,0.6912,0.6012,0.4637,0.2621,1.2386,0.6678,3.0,3.0,4.0,3.0,A city (100 000 to about 1 000 000 people),"A private school (Managed by a non-government org; e.g. a church, trade union, business, or other private institution.)",,100.0,,Not at all,Not at all,Not checked
